"garden","meso_id","soil_id","treat","n_bags","...31","entered_by","bag","seed_id","intact","germinated","burst","missing","obs","date","notes"
"SUM",35,"RC","Dead",2,35,"HL",1,"AH",8,2,0,0,"SF","45799",NA
"WIL",35,"RC","Dead",2,35,"HL",1,"RC",7,2,1,0,"SF","45804",NA
"SUM",35,"RC","Dead",2,35,"HL",2,"RC",1,9,0,0,"SF","45799",NA
"WIL",35,"RC","Dead",2,35,"HL",2,"AH",10,0,0,0,"SF","45804",NA
"SUM",35,"RC","Dead",2,35,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",35,"RC","Dead",2,35,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",36,"HG","Live",2,36,"HL",1,"HR",5,4,0,1,"SF","45799",NA
"WIL",36,"HG","Live",2,36,"HL",1,"HR",9,1,0,0,"HL","45810",NA
"SUM",36,"HG","Live",2,36,"HL",2,"HG",4,3,3,0,"SF","45799",NA
"WIL",36,"HG","Live",2,36,"HL",2,"HG",10,0,0,0,"HL","45810",NA
"SUM",36,"HG","Live",2,36,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",36,"HG","Live",2,36,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",37,"CR","Live",3,37,"HL",1,"CR",4,6,0,0,"SF","45799",NA
"WIL",37,"CR","Live",3,37,"HL",1,"HG",3,5,2,0,"HL","45810",NA
"SUM",37,"CR","Live",3,37,"HL",2,"HG",8,2,0,0,"SF","45799","intact are very shriveled"
"WIL",37,"CR","Live",3,37,"HL",2,"AH",7,3,0,0,"HL","45810","dropped 1 of the intact"
"SUM",37,"CR","Live",3,37,"HL",3,"AH",9,0,0,1,"SF","45799","1 intact seed fell apart"
"WIL",37,"CR","Live",3,37,"HL",3,"CR",6,4,0,0,"HL","45810",NA
"SUM",38,"AH","Dead",3,38,"HL",1,"SR",4,6,0,0,"SF","45806",NA
"WIL",38,"AH","Dead",3,38,"HL",1,"SR",6,4,0,0,"SF","45811",NA
"SUM",38,"AH","Dead",3,38,"HL",2,"CR",8,2,0,0,"SF","45806",NA
"WIL",38,"AH","Dead",3,38,"HL",2,"CR",8,2,0,0,"SF","45811",NA
"SUM",38,"AH","Dead",3,38,"HL",3,"OH",5,5,0,0,"SF","45806",NA
"WIL",38,"AH","Dead",3,38,"HL",3,"OH",8,1,0,1,"SF","45811","some seeds sealed in hot glue"
"SUM",39,"CR","Live",3,39,"HL",1,"CR",6,4,0,0,"SF","45804",NA
"WIL",39,"CR","Live",3,39,"HL",1,"CR",5,3,2,0,"HL","45811",NA
"SUM",39,"CR","Live",3,39,"HL",2,"HG",5,3,0,2,"SF","45804",NA
"WIL",39,"CR","Live",3,39,"HL",2,"HG",5,4,1,0,"HL","45811",NA
"SUM",39,"CR","Live",3,39,"HL",3,"AH",7,3,0,0,"SF","45804",NA
"WIL",39,"CR","Live",3,39,"HL",3,"AH",9,2,0,0,"HL","45811",NA
"SUM",40,"AH","Live",3,40,"HL",1,"SR",5,5,0,0,"SF","45806","intact seeds mushy"
"WIL",40,"AH","Live",3,40,"HL",1,"SR",8,3,0,0,"SF","45812","1 extra seed"
"SUM",40,"AH","Live",3,40,"HL",2,"CR",8,2,0,0,"SF","45806",NA
"WIL",40,"AH","Live",3,40,"HL",2,"CR",6,3,0,1,"SF","45812",NA
"SUM",40,"AH","Live",3,40,"HL",3,"OH",8,2,0,0,"SF","45806",NA
"WIL",40,"AH","Live",3,40,"HL",3,"OH",6,3,0,1,"SF","45812",NA
"SUM",41,"HR","Live",2,41,"HL",1,"HR",5,4,1,0,"TN","45825",NA
"WIL",41,"HR","Live",2,41,"HL",1,"HR",4,5,1,0,"TN","45827",NA
"SUM",41,"HR","Live",2,41,"HL",2,"HG",7,3,2,0,"TN","45825","bag was open"
"WIL",41,"HR","Live",2,41,"HL",2,"HG",7,1,2,0,"TN","45827",NA
"SUM",41,"HR","Live",2,41,"HL",3,NA,NA,NA,NA,NA,"TN",NA,NA
"WIL",41,"HR","Live",2,41,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"SUM",42,"SR","Live",3,42,"HL",1,"SR",1,7,2,0,"TN","45825",NA
"WIL",42,"SR","Live",3,42,"HL",1,"SR",0,8,2,0,"TN","45827",NA
"SUM",42,"SR","Live",3,42,"HL",2,"HG",7,1,7,0,"TN","45825",NA
"WIL",42,"SR","Live",3,42,"HL",2,"HG",5,5,0,0,"TN","45827",NA
"SUM",42,"SR","Live",3,42,"HL",3,"AH",9,0,0,1,"TN","45825",NA
"WIL",42,"SR","Live",3,42,"HL",3,"AH",5,2,0,3,"TN","45827",NA
"SUM",43,"OH","Live",2,43,"HL",1,"TI",4,5,1,0,"TN","45825",NA
"WIL",43,"OH","Live",2,43,"HL",1,"TI",2,5,3,0,"TN","45827",NA
"SUM",43,"OH","Live",2,43,"HL",2,"NG",0,3,0,0,"TN","45825",NA
"WIL",43,"OH","Live",2,43,"HL",2,"NG",7,3,0,0,"TN","45827","lost 1 intact seed"
"SUM",43,"OH","Live",2,43,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
"WIL",43,"OH","Live",2,43,"HL",3,NA,NA,NA,NA,NA,NA,NA,NA
