"garden","meso_id","soil_id","treat","n_bags","...31","entered_by","bag","seed_id","intact","obs","date","notes","seed_fate","n_seeds"
"SUM",14,"HG","Live",3,14,"HL",3,"OH",9,"SF","45799",NA,"germinated",0
"SUM",14,"HG","Live",3,14,"HL",3,"OH",9,"SF","45799",NA,"burst",0
"SUM",14,"HG","Live",3,14,"HL",3,"OH",9,"SF","45799",NA,"missing",1
"WIL",14,"HG","Live",3,14,"HL",3,"SR",2,"HL","45812",NA,"germinated",8
"WIL",14,"HG","Live",3,14,"HL",3,"SR",2,"HL","45812",NA,"burst",0
"WIL",14,"HG","Live",3,14,"HL",3,"SR",2,"HL","45812",NA,"missing",0
"SUM",15,"HG","Live",3,15,"HL",1,"SR",4,"SF","45799","1 intact seed fell apart","germinated",6
"SUM",15,"HG","Live",3,15,"HL",1,"SR",4,"SF","45799","1 intact seed fell apart","burst",0
"SUM",15,"HG","Live",3,15,"HL",1,"SR",4,"SF","45799","1 intact seed fell apart","missing",0
"WIL",15,"HG","Live",3,15,"HL",1,"OH",8,"HL","45812",NA,"germinated",2
"WIL",15,"HG","Live",3,15,"HL",1,"OH",8,"HL","45812",NA,"burst",0
"WIL",15,"HG","Live",3,15,"HL",1,"OH",8,"HL","45812",NA,"missing",0
"SUM",15,"HG","Live",3,15,"HL",2,"CR",9,"SF","45799",NA,"germinated",1
"SUM",15,"HG","Live",3,15,"HL",2,"CR",9,"SF","45799",NA,"burst",0
"SUM",15,"HG","Live",3,15,"HL",2,"CR",9,"SF","45799",NA,"missing",0
"WIL",15,"HG","Live",3,15,"HL",2,"CR",7,"HL","45812",NA,"germinated",3
"WIL",15,"HG","Live",3,15,"HL",2,"CR",7,"HL","45812",NA,"burst",0
"WIL",15,"HG","Live",3,15,"HL",2,"CR",7,"HL","45812",NA,"missing",0
"SUM",15,"HG","Live",3,15,"HL",3,"OH",6,"SF","45799",NA,"germinated",4
"SUM",15,"HG","Live",3,15,"HL",3,"OH",6,"SF","45799",NA,"burst",0
"SUM",15,"HG","Live",3,15,"HL",3,"OH",6,"SF","45799",NA,"missing",0
"WIL",15,"HG","Live",3,15,"HL",3,"SR",2,"HL","45812",NA,"germinated",6
"WIL",15,"HG","Live",3,15,"HL",3,"SR",2,"HL","45812",NA,"burst",2
"WIL",15,"HG","Live",3,15,"HL",3,"SR",2,"HL","45812",NA,"missing",0
"SUM",16,"CR","Dead",3,16,"HL",1,"CR",4,"SF","45799","1 intact soft/black","germinated",6
"SUM",16,"CR","Dead",3,16,"HL",1,"CR",4,"SF","45799","1 intact soft/black","burst",0
"SUM",16,"CR","Dead",3,16,"HL",1,"CR",4,"SF","45799","1 intact soft/black","missing",0
"WIL",16,"CR","Dead",3,16,"HL",1,"AH",9,"HL","45812","intact seeds black","germinated",1
"WIL",16,"CR","Dead",3,16,"HL",1,"AH",9,"HL","45812","intact seeds black","burst",0
"WIL",16,"CR","Dead",3,16,"HL",1,"AH",9,"HL","45812","intact seeds black","missing",0
"SUM",16,"CR","Dead",3,16,"HL",2,"HG",8,"SF","45799","1 intact smushed","germinated",2
"SUM",16,"CR","Dead",3,16,"HL",2,"HG",8,"SF","45799","1 intact smushed","burst",0
"SUM",16,"CR","Dead",3,16,"HL",2,"HG",8,"SF","45799","1 intact smushed","missing",0
"WIL",16,"CR","Dead",3,16,"HL",2,"CR",9,"HL","45812",NA,"germinated",1
"WIL",16,"CR","Dead",3,16,"HL",2,"CR",9,"HL","45812",NA,"burst",0
"WIL",16,"CR","Dead",3,16,"HL",2,"CR",9,"HL","45812",NA,"missing",0
"SUM",16,"CR","Dead",3,16,"HL",3,"AH",8,"SF","45799","1 intact smushed, 1 intact very black","germinated",2
